,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params
0,-2.3706395700918987,-2.368846299353435,-2.31748550598805,-2.352323791811128,0.02464526424154284,41,96.89213116963704,36.20086169764524,47.30078117052714,7.264665836251377,0.4160029192647807,0.01241881627783703,940,32,34,4.1411863834435225,208,74,5.497557739289786e-07,0.05936070635912049,0.060830282487222144,0.13556548021189216,171234,6,"OrderedDict([('colsample_bytree', 0.4160029192647807), ('learning_rate', 0.01241881627783703), ('max_bin', 940), ('max_depth', 32), ('min_child_samples', 34), ('min_child_weight', 4.1411863834435225), ('n_estimators', 208), ('num_leaves', 74), ('reg_alpha', 5.497557739289786e-07), ('reg_lambda', 0.05936070635912049), ('scale_pos_weight', 0.060830282487222144), ('subsample', 0.13556548021189216), ('subsample_for_bin', 171234), ('subsample_freq', 6)])"
1,-2.3712730724659714,-2.4089798930502853,-2.272187404506947,-2.350813456674401,0.057688780764973996,37,120.04310981432597,37.78430633522846,22.399436314900715,5.62181475062128,0.8390144719977516,0.15247791391944723,373,95,43,0.6231295022094206,112,37,0.0005266983003701547,276.5424475574225,0.3016410771843142,0.9923710598637134,406716,4,"OrderedDict([('colsample_bytree', 0.8390144719977516), ('learning_rate', 0.15247791391944723), ('max_bin', 373), ('max_depth', 95), ('min_child_samples', 43), ('min_child_weight', 0.6231295022094206), ('n_estimators', 112), ('num_leaves', 37), ('reg_alpha', 0.0005266983003701547), ('reg_lambda', 276.5424475574225), ('scale_pos_weight', 0.3016410771843142), ('subsample', 0.9923710598637134), ('subsample_for_bin', 406716), ('subsample_freq', 4)])"
2,-2.375749558186277,-2.3994514647239726,-2.283133712999264,-2.352778245303171,0.05018775251162979,42,78.28338503837585,28.365199162341305,32.681660095850624,4.940661179777723,0.4503841871781403,0.269809757549238,194,43,10,4.5366534926964555,120,76,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.387658500562527,179142,5,"OrderedDict([('colsample_bytree', 0.4503841871781403), ('learning_rate', 0.269809757549238), ('max_bin', 194), ('max_depth', 43), ('min_child_samples', 10), ('min_child_weight', 4.5366534926964555), ('n_estimators', 120), ('num_leaves', 76), ('reg_alpha', 0.00010376808625045426), ('reg_lambda', 476.96194787286544), ('scale_pos_weight', 1.3165669602830552), ('subsample', 0.387658500562527), ('subsample_for_bin', 179142), ('subsample_freq', 5)])"
3,-3.8319583890327062,-3.491715376969257,-3.5753601301604956,-3.6330112987208194,0.14476203402315196,99,462.70209797223407,158.7577850660376,67.55269702275594,9.831566177685366,0.8142720284737898,1.5962500716886472e-06,638,80,27,0.9545504826044307,390,88,0.1611980387486336,4.3806965488564525e-05,0.0009365503147654213,0.8391548832503206,344173,0,"OrderedDict([('colsample_bytree', 0.8142720284737898), ('learning_rate', 1.5962500716886472e-06), ('max_bin', 638), ('max_depth', 80), ('min_child_samples', 27), ('min_child_weight', 0.9545504826044307), ('n_estimators', 390), ('num_leaves', 88), ('reg_alpha', 0.1611980387486336), ('reg_lambda', 4.3806965488564525e-05), ('scale_pos_weight', 0.0009365503147654213), ('subsample', 0.8391548832503206), ('subsample_for_bin', 344173), ('subsample_freq', 0)])"
4,-3.7741786854938515,-3.4335037600889775,-3.5211025785899595,-3.576261674724263,0.14444548132927548,98,317.5900673866272,113.18426925895778,42.80553968747457,5.025904812922363,0.8015579071911014,0.00011646737978730446,574,72,45,7.1703115398952555,241,66,1.5057560255472018e-06,0.08186810622382998,0.029004593634154585,0.8835665823899177,202222,3,"OrderedDict([('colsample_bytree', 0.8015579071911014), ('learning_rate', 0.00011646737978730446), ('max_bin', 574), ('max_depth', 72), ('min_child_samples', 45), ('min_child_weight', 7.1703115398952555), ('n_estimators', 241), ('num_leaves', 66), ('reg_alpha', 1.5057560255472018e-06), ('reg_lambda', 0.08186810622382998), ('scale_pos_weight', 0.029004593634154585), ('subsample', 0.8835665823899177), ('subsample_for_bin', 202222), ('subsample_freq', 3)])"
5,-2.634884973955918,-2.5538222701418083,-2.397775505828323,-2.5288275833086833,0.09839978233835095,89,151.43991875648499,51.45739562968559,53.25291061401367,9.6956557492773,0.7366877378057127,0.37634674415015656,247,19,40,3.725797842574601,257,54,0.011683028450342707,0.0048879464985534336,0.13267482411031659,0.5689543694097536,108942,5,"OrderedDict([('colsample_bytree', 0.7366877378057127), ('learning_rate', 0.37634674415015656), ('max_bin', 247), ('max_depth', 19), ('min_child_samples', 40), ('min_child_weight', 3.725797842574601), ('n_estimators', 257), ('num_leaves', 54), ('reg_alpha', 0.011683028450342707), ('reg_lambda', 0.0048879464985534336), ('scale_pos_weight', 0.13267482411031659), ('subsample', 0.5689543694097536), ('subsample_for_bin', 108942), ('subsample_freq', 5)])"
6,-2.363140938950144,-2.4171458679741935,-2.2725266654718674,-2.350937824132068,0.05966777713053923,38,230.6085378328959,82.53143503038412,69.98154536883037,11.962153577666205,0.6209085649172932,0.02676397723446938,423,87,30,5.946200391406382,342,43,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,344698,3,"OrderedDict([('colsample_bytree', 0.6209085649172932), ('learning_rate', 0.02676397723446938), ('max_bin', 423), ('max_depth', 87), ('min_child_samples', 30), ('min_child_weight', 5.946200391406382), ('n_estimators', 342), ('num_leaves', 43), ('reg_alpha', 0.004026635957416632), ('reg_lambda', 0.040887904512512056), ('scale_pos_weight', 109.72255122430063), ('subsample', 0.6612742297240571), ('subsample_for_bin', 344698), ('subsample_freq', 3)])"
7,-2.3830876013823996,-2.4204756017501077,-2.3190029487529324,-2.3741887172951466,0.04190121263217456,67,154.93973724047342,62.19013201148659,28.852524360020954,3.1664528484553522,0.5479690370134094,0.27546383223043824,547,84,17,0.5113456316570625,307,5,2.9618722230360503e-06,8.153638964242,0.0015718563651880596,0.577028860872224,376134,1,"OrderedDict([('colsample_bytree', 0.5479690370134094), ('learning_rate', 0.27546383223043824), ('max_bin', 547), ('max_depth', 84), ('min_child_samples', 17), ('min_child_weight', 0.5113456316570625), ('n_estimators', 307), ('num_leaves', 5), ('reg_alpha', 2.9618722230360503e-06), ('reg_lambda', 8.153638964242), ('scale_pos_weight', 0.0015718563651880596), ('subsample', 0.577028860872224), ('subsample_for_bin', 376134), ('subsample_freq', 1)])"
8,-3.1764242741496767,-2.84593080306301,-2.963841424544455,-2.995398833919047,0.13675619711139247,97,51.35472067197164,19.287525325619825,8.16899569829305,0.979819807664511,0.955923206446829,0.008023246075377976,884,42,20,2.1141429516005337,50,38,0.00022356829889037284,1.2908532337409298e-07,4.73588486119117,0.4499578015509351,149866,2,"OrderedDict([('colsample_bytree', 0.955923206446829), ('learning_rate', 0.008023246075377976), ('max_bin', 884), ('max_depth', 42), ('min_child_samples', 20), ('min_child_weight', 2.1141429516005337), ('n_estimators', 50), ('num_leaves', 38), ('reg_alpha', 0.00022356829889037284), ('reg_lambda', 1.2908532337409298e-07), ('scale_pos_weight', 4.73588486119117), ('subsample', 0.4499578015509351), ('subsample_for_bin', 149866), ('subsample_freq', 2)])"
9,-2.4161023003345723,-2.3985878887042045,-2.3593479425251327,-2.391346043854637,0.02372899099146282,75,51.131884018580116,19.567805484708057,32.384650230407715,5.049172109963244,0.013594004182195795,0.053065240595955514,767,25,29,2.7471485608826898,191,17,0.11080071157037095,5.745523087821567,3.573713830065675,0.029649078936835577,194589,7,"OrderedDict([('colsample_bytree', 0.013594004182195795), ('learning_rate', 0.053065240595955514), ('max_bin', 767), ('max_depth', 25), ('min_child_samples', 29), ('min_child_weight', 2.7471485608826898), ('n_estimators', 191), ('num_leaves', 17), ('reg_alpha', 0.11080071157037095), ('reg_lambda', 5.745523087821567), ('scale_pos_weight', 3.573713830065675), ('subsample', 0.029649078936835577), ('subsample_for_bin', 194589), ('subsample_freq', 7)])"
