,Unnamed: 0,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rmse_val
32,32,-2.3381654842571997,-2.4144309009057183,-2.2721650869420698,-2.341587157368329,0.058130149038425685,19,343.5367371241252,130.28381136956492,90.55697743097943,12.289889568034301,0.6269638233866034,0.018897294829755683,434,56,9,1.5511696598617777,500,31,1e-09,0.4564511244448295,3.144435674439313e-06,0.6635027047347526,160395,2,"OrderedDict([('colsample_bytree', 0.6269638233866034), ('learning_rate', 0.018897294829755676), ('max_bin', 434), ('max_depth', 56), ('min_child_samples', 9), ('min_child_weight', 1.5511696598617777), ('n_estimators', 500), ('num_leaves', 31), ('reg_alpha', 1e-09), ('reg_lambda', 0.4564511244448295), ('scale_pos_weight', 3.144435674439313e-06), ('subsample', 0.6635027047347526), ('subsample_for_bin', 160395), ('subsample_freq', 2)])",2.125611889730635
33,33,-2.322852160332101,-2.4026705637381385,-2.275603326938872,-2.333708683669704,0.05243992589103067,6,197.8427177270254,79.17684803689913,117.23719088236493,14.433886436772955,0.20210961288326074,0.039885465749697716,760,100,17,9.672117461856335,500,57,0.00154065391013908,0.00012859281979182808,1e-06,1.0,286598,4,"OrderedDict([('colsample_bytree', 0.20210961288326074), ('learning_rate', 0.03988546574969771), ('max_bin', 760), ('max_depth', 100), ('min_child_samples', 17), ('min_child_weight', 9.672117461856335), ('n_estimators', 500), ('num_leaves', 57), ('reg_alpha', 0.00154065391013908), ('reg_lambda', 0.00012859281979182808), ('scale_pos_weight', 1e-06), ('subsample', 1.0), ('subsample_for_bin', 286598), ('subsample_freq', 4)])",2.107544441108495
34,34,-2.3600622118395838,-2.3827758084297117,-2.331011867392065,-2.3579499625537865,0.02118525581186484,50,216.07768233617145,84.38598117298916,143.00886011123654,13.40443635052655,0.01,0.04103338346919915,412,69,31,9.62552545789215,448,63,0.003299024950937181,0.0039807873980442,0.013077624730857556,0.5151961077758505,162703,6,"OrderedDict([('colsample_bytree', 0.01), ('learning_rate', 0.04103338346919915), ('max_bin', 412), ('max_depth', 69), ('min_child_samples', 31), ('min_child_weight', 9.62552545789215), ('n_estimators', 448), ('num_leaves', 63), ('reg_alpha', 0.0032990249509371812), ('reg_lambda', 0.0039807873980442), ('scale_pos_weight', 0.013077624730857555), ('subsample', 0.5151961077758505), ('subsample_for_bin', 162703), ('subsample_freq', 6)])",2.16731578144435
36,36,-2.349395705748901,-2.391853155934627,-2.2949771483984267,-2.3454086700273185,0.03964982176859797,27,30134.74202299118,107.5377647677216,80.46746381123859,23.260334608624248,0.6496079208584393,0.010721848688049285,450,29,15,6.9825744252866935,394,20,6.6442183364799595e-09,2.9761681158930218,2.1409285279207815e-06,0.5256441119938153,392614,8,"OrderedDict([('colsample_bytree', 0.6496079208584393), ('learning_rate', 0.010721848688049285), ('max_bin', 450), ('max_depth', 29), ('min_child_samples', 15), ('min_child_weight', 6.9825744252866935), ('n_estimators', 394), ('num_leaves', 20), ('reg_alpha', 6.64421833647996e-09), ('reg_lambda', 2.9761681158930218), ('scale_pos_weight', 2.1409285279207815e-06), ('subsample', 0.5256441119938153), ('subsample_for_bin', 392614), ('subsample_freq', 8)])",2.1501673822446694
37,37,-2.3322740630265955,-2.3938479889499016,-2.289701448798831,-2.3386078335917757,0.04275287860514113,15,83.78965918223065,30.996684010769016,30.79507597287496,5.0821031569838135,0.17772789216920332,0.12575244123056892,715,75,10,2.0327112493052018,229,13,0.00043440503789861097,6.091395280182718,0.0005605410020364052,0.5200933999637842,246316,6,"OrderedDict([('colsample_bytree', 0.17772789216920332), ('learning_rate', 0.12575244123056892), ('max_bin', 715), ('max_depth', 75), ('min_child_samples', 10), ('min_child_weight', 2.032711249305202), ('n_estimators', 229), ('num_leaves', 13), ('reg_alpha', 0.000434405037898611), ('reg_lambda', 6.091395280182717), ('scale_pos_weight', 0.0005605410020364053), ('subsample', 0.5200933999637842), ('subsample_for_bin', 246316), ('subsample_freq', 6)])",2.1290560921352046
38,38,-2.328649389864648,-2.4383642277429525,-2.2824730748981907,-2.3498288975019306,0.06538063699921917,33,465.61696680386865,167.8912922198454,125.58628694216412,27.033654015232205,0.9386396678029088,0.018629944788433654,928,65,48,0.648667298466959,500,56,1e-09,26.71342214871357,6.322305084134338,0.6728804777083535,151371,0,"OrderedDict([('colsample_bytree', 0.9386396678029088), ('learning_rate', 0.018629944788433654), ('max_bin', 928), ('max_depth', 65), ('min_child_samples', 48), ('min_child_weight', 0.648667298466959), ('n_estimators', 500), ('num_leaves', 56), ('reg_alpha', 1e-09), ('reg_lambda', 26.71342214871357), ('scale_pos_weight', 6.322305084134338), ('subsample', 0.6728804777083535), ('subsample_for_bin', 151371), ('subsample_freq', 0)])",2.106248374401391
39,39,-2.330996694446167,-2.43797418196906,-2.2942530014292712,-2.3544079592814997,0.060964524792867375,45,57.03605922063193,21.337146029771425,13.971925099690758,1.0703284924841527,0.4553907004740105,0.1909835515679869,1000,100,12,2.01738158254408,125,7,8.180546205487797e-06,0.8497452407613547,211.40790034256815,0.5740622882090419,496856,0,"OrderedDict([('colsample_bytree', 0.45539070047401053), ('learning_rate', 0.1909835515679869), ('max_bin', 1000), ('max_depth', 100), ('min_child_samples', 12), ('min_child_weight', 2.01738158254408), ('n_estimators', 125), ('num_leaves', 7), ('reg_alpha', 8.180546205487797e-06), ('reg_lambda', 0.8497452407613547), ('scale_pos_weight', 211.40790034256818), ('subsample', 0.5740622882090419), ('subsample_for_bin', 496856), ('subsample_freq', 0)])",2.1394618328442205
40,40,-2.375699829494704,-2.3872723292369997,-2.288002386727353,-2.350324848486352,0.04432115835841673,35,52.119087298711136,18.86171368663463,15.192004203796387,3.1362844843523536,0.3221749982287616,0.27171685304694354,204,66,24,4.1128269906314845,68,42,0.0075385580610789265,255.94118905515342,2.1055491173082266e-05,0.6277184986050003,227099,10,"OrderedDict([('colsample_bytree', 0.32217499822876156), ('learning_rate', 0.27171685304694354), ('max_bin', 204), ('max_depth', 66), ('min_child_samples', 24), ('min_child_weight', 4.1128269906314845), ('n_estimators', 68), ('num_leaves', 42), ('reg_alpha', 0.007538558061078927), ('reg_lambda', 255.94118905515344), ('scale_pos_weight', 2.1055491173082266e-05), ('subsample', 0.6277184986050003), ('subsample_for_bin', 227099), ('subsample_freq', 10)])",2.1287136100475683
41,41,-2.400023915124983,-2.381134736434125,-2.285136229093597,-2.355431626884235,0.05030097733186889,47,221.73400203386944,86.45106450633291,66.44845573107403,9.281846304122283,0.6855769782065867,0.012206884552419904,100,0,23,0.7406896285621307,329,59,1e-09,0.05231960671513216,1e-06,0.5002826863442348,294333,5,"OrderedDict([('colsample_bytree', 0.6855769782065867), ('learning_rate', 0.012206884552419903), ('max_bin', 100), ('max_depth', 0), ('min_child_samples', 23), ('min_child_weight', 0.7406896285621307), ('n_estimators', 329), ('num_leaves', 59), ('reg_alpha', 1e-09), ('reg_lambda', 0.05231960671513216), ('scale_pos_weight', 1e-06), ('subsample', 0.5002826863442348), ('subsample_for_bin', 294333), ('subsample_freq', 5)])",2.1383242149177626
44,44,-2.3094462524013655,-2.393296879373909,-2.2851859119276403,-2.3293096812343053,0.04631711112388148,2,195.13226064046228,74.25166683618801,85.45344567298889,11.254379073691693,0.2802217934706952,0.02292566767918195,1000,100,1,10.0,500,22,0.007916583820169744,4.748658796810814e-07,1e-06,1.0,246639,8,"OrderedDict([('colsample_bytree', 0.2802217934706952), ('learning_rate', 0.02292566767918195), ('max_bin', 1000), ('max_depth', 100), ('min_child_samples', 1), ('min_child_weight', 10.0), ('n_estimators', 500), ('num_leaves', 22), ('reg_alpha', 0.007916583820169744), ('reg_lambda', 4.748658796810814e-07), ('scale_pos_weight', 1e-06), ('subsample', 1.0), ('subsample_for_bin', 246639), ('subsample_freq', 8)])",2.1242298749501938
